year,Month Week,region,AveragePrice,4046,4225,4770,Small Bags,Large Bags,XLarge Bags,Season,Total Small Avocados,Total Large Avocados,Total XLarge Avocados,type_organic
2015,07/12,Albany,1.05,672,94693,4257,24290,108,33,Summer,24962,94801,4290,False
2015,07/05,Albany,1.35,869,72600,5883,29663,235,0,Summer,30532,72835,5883,False
2015,06/28,Albany,1.37,664,57545,4662,26311,350,0,Summer,26975,57895,4662,False
2015,06/21,Albany,1.27,804,76688,5481,21662,213,0,Summer,22466,76901,5481,False
2015,06/14,Albany,1.32,850,55400,4377,28343,659,0,Summer,29193,56059,4377,False
2015,06/07,Albany,1.07,656,99220,90,22314,460,0,Summer,22970,99680,90,False
2015,05/31,Albany,1.23,922,70469,50,23222,458,0,Spring,24144,70927,50,False
2015,05/24,Albany,1.19,680,71376,58,28761,593,0,Spring,29441,71969,58,False
2015,05/17,Albany,1.43,1150,81955,94,26285,372,0,Spring,27435,82327,94,False
2015,05/10,Albany,1.26,1420,102000,185,16535,285,0,Spring,17955,102285,185,False
2015,05/03,Albany,1.2,919,45490,217,12201,368,0,Spring,13120,45858,217,False
2015,04/26,Albany,1.22,875,35841,89,12076,701,0,Spring,12951,36542,89,False
2015,04/19,Albany,1.19,774,33941,47,13602,698,0,Spring,14376,34639,47,False
2015,04/12,Albany,1.13,864,30374,21,16438,665,0,Spring,17302,31039,21,False
2015,04/05,Albany,1.16,961,35577,93,9869,755,104,Spring,10830,36332,197,False
2015,03/29,Albany,1.02,1402,58623,89,7208,475,0,Spring,8610,59098,89,False
2015,03/22,Albany,1.12,2141,34313,141,9252,497,0,Spring,11393,34810,141,False
2015,03/15,Albany,1.11,2128,30447,99,9989,381,0,Spring,12117,30828,99,False
2015,03/08,Albany,1.07,795,30370,159,8827,354,0,Spring,9622,30724,159,False
2015,03/01,Albany,0.99,629,45633,181,8986,165,0,Spring,9615,45798,181,False
2015,02/22,Albany,1.07,1088,35056,151,9000,379,0,Winter,10088,35435,151,False
2015,02/15,Albany,1.06,986,30045,222,9979,333,0,Winter,10965,30378,222,False
2015,02/08,Albany,0.99,1357,39111,163,10113,508,0,Winter,11470,39619,163,False
2015,02/01,Albany,0.99,1353,60017,179,9170,152,0,Winter,10523,60169,179,False
2015,01/25,Albany,1.06,941,33196,164,10103,742,0,Winter,11044,33938,164,False
2015,01/18,Albany,1.17,914,31540,135,11651,269,0,Winter,12565,31809,135,False
2015,01/11,Albany,1.24,1002,31640,127,8036,388,0,Winter,9038,32028,127,False
2015,01/04,Albany,1.22,2819,28287,49,9186,529,0,Winter,12005,28816,49,False
2015,12/27,Atlanta,0.99,292097,27350,297,48605,17748,0,Winter,340702,45098,297,False
2015,12/20,Atlanta,1.08,251774,20702,103,46930,11867,0,Winter,298704,32569,103,False
2015,12/13,Atlanta,0.96,324932,31019,275,38903,22628,13,Winter,363835,53647,288,False
2015,12/06,Atlanta,1.07,283024,23740,181,37032,13654,2,Winter,320056,37394,183,False
2015,11/29,Atlanta,0.99,250288,28889,307,33031,20738,24,Fall,283319,49627,331,False
2015,11/22,Atlanta,1.0,269799,29732,501,36992,19389,0,Fall,306791,49121,501,False
2015,11/15,Atlanta,1.13,263915,28442,455,33656,13390,0,Fall,297571,41832,455,False
2015,11/08,Atlanta,1.12,250441,34483,488,35662,12941,24,Fall,286103,47424,512,False
2015,11/01,Atlanta,0.99,290457,62980,252,39460,25929,8,Fall,329917,88909,260,False
2015,10/25,Atlanta,1.09,236814,64607,304,31826,24924,0,Fall,268640,89531,304,False
2015,10/18,Atlanta,1.09,228710,59731,291,36884,23454,0,Fall,265594,83185,291,False
2015,10/11,Atlanta,0.95,255933,91047,599,41159,45134,0,Fall,297092,136181,599,False
2015,10/04,Atlanta,0.96,265797,92780,644,14875,44584,0,Fall,280672,137364,644,False
2015,09/27,Atlanta,1.07,262107,61870,680,20533,25125,2,Fall,282640,86995,682,False
2015,09/20,Atlanta,0.93,346118,82762,1349,33698,52442,61,Fall,379816,135204,1410,False
2015,09/13,Atlanta,1.07,278048,62485,714,46290,29678,13,Fall,324338,92163,727,False
2015,09/06,Atlanta,0.97,303113,73675,911,49833,44549,52,Fall,352946,118224,963,False
2015,08/30,Atlanta,1.15,275818,44839,1034,47138,14112,30,Summer,322956,58951,1064,False
2015,08/23,Atlanta,1.12,274462,46223,950,45534,11883,0,Summer,319996,58106,950,False
2015,08/16,Atlanta,1.09,362579,41992,1424,45068,14148,0,Summer,407647,56140,1424,False
2015,08/09,Atlanta,1.01,385027,47040,4251,45820,21568,83,Summer,430847,68608,4334,False
2015,08/02,Atlanta,1.15,306587,41906,3515,42126,11720,41,Summer,348713,53626,3556,False
2015,07/26,Atlanta,1.08,335372,44087,708,45114,12096,0,Summer,380486,56183,708,False
2015,07/19,Atlanta,0.97,446100,47838,1982,45099,16192,0,Summer,491199,64030,1982,False
2015,07/12,Atlanta,1.14,310080,37953,867,46023,12280,0,Summer,356103,50233,867,False
2015,07/05,Atlanta,1.01,436377,54675,848,50684,19851,24,Summer,487061,74526,872,False
2015,06/28,Atlanta,1.13,331353,37698,816,52099,13108,134,Summer,383452,50806,950,False
2015,06/21,Atlanta,0.99,449311,30231,678,55484,19010,46,Summer,504795,49241,724,False
2015,06/14,Atlanta,1.1,386370,17701,471,48612,12578,71,Summer,434982,30279,542,False
2015,06/07,Atlanta,0.99,455565,22414,738,50954,21329,5,Summer,506519,43743,743,False
2015,05/31,Atlanta,1.1,382900,19543,522,40505,11199,29,Spring,423405,30742,551,False
2015,05/24,Atlanta,0.96,538126,27284,1260,33867,22651,21,Spring,571993,49935,1281,False
2015,05/17,Atlanta,1.11,386400,18618,838,33710,11682,0,Spring,420110,30300,838,False
2015,05/10,Atlanta,1.1,413452,18860,1089,34108,12559,0,Spring,447560,31419,1089,False
2015,05/03,Atlanta,1.0,538403,28568,1059,32520,33660,0,Spring,570923,62228,1059,False
2015,04/26,Atlanta,1.12,387676,18366,1041,31315,10196,0,Spring,418991,28562,1041,False
2015,04/19,Atlanta,1.12,368709,18040,873,29661,13680,0,Spring,398370,31720,873,False
2015,04/12,Atlanta,0.99,377578,22419,219,25833,25051,0,Spring,403411,47470,219,False
2015,04/05,Atlanta,1.04,318473,19254,374,28612,16289,134,Spring,347085,35543,508,False
2015,03/29,Atlanta,1.11,305028,16651,261,29313,14466,0,Spring,334341,31117,261,False
2015,03/22,Atlanta,1.0,393591,23419,304,40495,21766,13,Spring,434086,45185,317,False
2015,03/15,Atlanta,1.12,336172,16508,310,34911,11625,37,Spring,371083,28133,347,False
2015,03/08,Atlanta,1.1,361559,15788,236,33847,9394,0,Spring,395406,25182,236,False
2015,03/01,Atlanta,0.99,441544,21183,347,32180,17273,2,Spring,473724,38456,349,False
2015,02/22,Atlanta,1.1,369316,18324,237,33423,10006,0,Winter,402739,28330,237,False
2015,02/15,Atlanta,1.06,364446,17420,638,26727,18158,0,Winter,391173,35578,638,False
2015,02/08,Atlanta,1.03,377256,17162,524,18044,20895,0,Winter,395300,38057,524,False
2015,02/01,Atlanta,0.96,553198,31583,294,10553,41140,0,Winter,563751,72723,294,False
2015,01/25,Atlanta,1.1,393408,18718,594,13176,23435,0,Winter,406584,42153,594,False
2015,01/18,Atlanta,1.11,372236,18701,511,16782,23257,0,Winter,389018,41958,511,False
2015,01/11,Atlanta,1.11,330411,18958,1135,21309,25728,0,Winter,351720,44686,1135,False
2015,01/04,Atlanta,1.0,364302,23821,82,16707,30108,0,Winter,381009,53929,82,False
2015,12/27,BaltimoreWashington,1.17,40450,394104,17353,142543,2367,0,Winter,182993,396471,17353,False
2015,12/20,BaltimoreWashington,1.11,44741,434590,19112,141751,2486,0,Winter,186492,437076,19112,False
2015,12/13,BaltimoreWashington,1.15,44400,399851,24291,149070,1895,0,Winter,193470,401746,24291,False
2015,12/06,BaltimoreWashington,1.04,51129,453586,25760,117112,1552,0,Winter,168241,455138,25760,False
2015,11/29,BaltimoreWashington,1.16,41028,379156,20147,103615,1852,0,Fall,144643,381008,20147,False
2015,11/22,BaltimoreWashington,1.12,40867,386137,23343,119007,2663,0,Fall,159874,388800,23343,False
2015,11/15,BaltimoreWashington,1.04,47109,503470,37990,125297,4462,0,Fall,172406,507932,37990,False
2015,11/08,BaltimoreWashington,1.05,58579,576512,51035,138777,6062,0,Fall,197356,582574,51035,False
2015,11/01,BaltimoreWashington,1.12,51860,473819,58615,152716,5209,0,Fall,204576,479028,58615,False
2015,10/25,BaltimoreWashington,1.19,53766,397911,49085,149987,6141,0,Fall,203753,404052,49085,False
2015,10/18,BaltimoreWashington,0.99,59121,745385,49171,146421,5504,0,Fall,205542,750889,49171,False
2015,10/11,BaltimoreWashington,1.24,34707,392008,58490,163669,4685,0,Fall,198376,396693,58490,False
2015,10/04,BaltimoreWashington,1.28,35342,407609,42257,167494,4739,0,Fall,202836,412348,42257,False
2015,09/27,BaltimoreWashington,1.19,34309,451061,59018,146792,5100,0,Fall,181101,456161,59018,False
2015,09/20,BaltimoreWashington,1.17,39619,450283,45336,168889,5139,0,Fall,208508,455422,45336,False
2015,09/13,BaltimoreWashington,1.09,55699,675524,42270,145686,5813,0,Fall,201385,681337,42270,False
2015,09/06,BaltimoreWashington,1.18,63903,522568,68180,165696,3268,5,Fall,229599,525836,68185,False
2015,08/30,BaltimoreWashington,1.24,48455,458207,42754,181968,3158,176,Summer,230423,461365,42930,False
2015,08/23,BaltimoreWashington,1.16,59242,499100,47216,175047,3060,269,Summer,234289,502160,47485,False
2015,08/16,BaltimoreWashington,1.14,86492,597184,43102,153156,2796,21,Summer,239648,599980,43123,False
2015,08/09,BaltimoreWashington,1.16,56362,557363,42933,161564,3298,0,Summer,217926,560661,42933,False
2015,08/02,BaltimoreWashington,1.17,53957,535167,44749,163667,3061,0,Summer,217624,538228,44749,False
2015,07/26,BaltimoreWashington,1.2,52746,496508,45010,174774,3880,5,Summer,227520,500388,45015,False
2015,07/19,BaltimoreWashington,1.18,52954,496206,50319,196837,3862,13,Summer,249791,500068,50332,False
2015,07/12,BaltimoreWashington,1.1,58827,547537,50679,189236,4406,244,Summer,248063,551943,50923,False
2015,07/05,BaltimoreWashington,1.16,66504,567640,56044,200097,5890,120,Summer,266601,573530,56164,False
2015,06/28,BaltimoreWashington,1.15,65051,534535,51109,207378,4022,164,Summer,272429,538557,51273,False
2015,06/21,BaltimoreWashington,1.16,58398,527866,51952,220904,3488,230,Summer,279302,531354,52182,False
2015,06/14,BaltimoreWashington,1.09,64005,593499,48344,244982,3668,546,Summer,308987,597167,48890,False
2015,06/07,BaltimoreWashington,1.26,62585,462951,43720,221165,3626,260,Summer,283750,466577,43980,False
2015,05/31,BaltimoreWashington,1.19,67744,617813,45832,211787,5730,268,Spring,279531,623543,46100,False
2015,05/24,BaltimoreWashington,1.18,63610,560740,49808,228842,5548,111,Spring,292452,566288,49919,False
2015,05/17,BaltimoreWashington,1.27,63515,455166,44840,222163,5152,15,Spring,285678,460318,44855,False
2015,05/10,BaltimoreWashington,1.26,79192,507104,44390,215572,8947,0,Spring,294764,516051,44390,False
2015,05/03,BaltimoreWashington,1.17,73038,536709,77537,201874,7767,44,Spring,274912,544476,77581,False
2015,04/26,BaltimoreWashington,1.29,58013,431532,39942,212064,6184,102,Spring,270077,437716,40044,False
2015,04/19,BaltimoreWashington,1.28,67486,427623,42125,219885,5741,0,Spring,287371,433364,42125,False
2015,04/12,BaltimoreWashington,1.15,70796,523170,42270,196076,5315,0,Spring,266872,528485,42270,False
2015,04/05,BaltimoreWashington,1.29,53579,401279,41867,184109,6357,873,Spring,237688,407636,42740,False
2015,03/29,BaltimoreWashington,1.25,58098,398050,43759,158964,4804,0,Spring,217062,402854,43759,False
2015,03/22,BaltimoreWashington,1.1,65158,524971,42381,171699,4685,0,Spring,236857,529656,42381,False
2015,03/15,BaltimoreWashington,1.24,53400,395837,46596,193130,4733,0,Spring,246530,400570,46596,False
2015,03/08,BaltimoreWashington,1.26,55284,367670,42267,188374,4147,0,Spring,243658,371817,42267,False
2015,03/01,BaltimoreWashington,1.16,59039,498872,40241,168224,3736,0,Spring,227263,502608,40241,False
2015,02/22,BaltimoreWashington,1.11,50501,445970,62611,186976,3785,0,Winter,237477,449755,62611,False
2015,02/15,BaltimoreWashington,1.25,49751,361677,45900,174864,5125,0,Winter,224615,366802,45900,False
2015,02/08,BaltimoreWashington,1.09,71703,554857,37437,175771,5161,0,Winter,247474,560018,37437,False
2015,02/01,BaltimoreWashington,1.06,93166,666010,83652,159916,4672,0,Winter,253082,670682,83652,False
2015,01/25,BaltimoreWashington,1.2,49696,386398,39488,209761,7588,0,Winter,259457,393986,39488,False
2015,01/18,BaltimoreWashington,1.23,49947,393359,40576,169390,4467,0,Winter,219337,397826,40576,False
2015,01/11,BaltimoreWashington,1.17,51460,420837,42526,151330,4075,0,Winter,202790,424912,42526,False
2015,01/04,BaltimoreWashington,1.08,53987,552906,39995,137146,3990,0,Winter,191133,556896,39995,False
2015,12/27,Boise,0.97,30482,2971,5894,23520,5,35,Winter,54002,2976,5929,False
2015,12/20,Boise,1.03,25628,2546,7393,21900,11,24,Winter,47528,2557,7417,False
2015,12/13,Boise,0.99,27148,2985,6458,21842,4,20,Winter,48990,2989,6478,False
2015,12/06,Boise,0.71,35590,12526,4086,42734,0,357,Winter,78324,12526,4443,False
2015,11/29,Boise,1.06,24189,2789,6031,15860,0,197,Fall,40049,2789,6228,False
2015,11/22,Boise,1.09,25408,3255,6662,17530,4,12,Fall,42938,3259,6674,False
2015,11/15,Boise,1.01,24424,12085,6502,25200,8,426,Fall,49624,12093,6928,False
2015,11/08,Boise,1.11,31910,4651,6285,12777,119,102,Fall,44687,4770,6387,False
2015,11/01,Boise,1.14,30434,4359,6428,12331,0,30,Fall,42765,4359,6458,False
2015,10/25,Boise,1.11,29521,10089,6551,13660,0,50,Fall,43181,10089,6601,False
2015,10/18,Boise,1.16,29614,9069,6586,8918,0,3,Fall,38532,9069,6589,False
2015,10/11,Boise,0.94,26114,33415,7604,13543,185,40,Fall,39657,33600,7644,False
2015,10/04,Boise,1.12,35154,10821,7551,5462,504,1,Fall,40616,11325,7552,False
2015,09/27,Boise,0.99,47007,5754,3663,7596,160,6,Fall,54603,5914,3669,False
2015,09/20,Boise,1.03,34826,21592,6640,10601,273,19,Fall,45427,21865,6659,False
2015,09/13,Boise,1.08,45738,4393,6593,7482,0,0,Fall,53220,4393,6593,False
2015,09/06,Boise,1.16,44134,5402,7991,6934,0,1,Fall,51068,5402,7992,False
2015,08/30,Boise,1.19,40926,5809,7922,5440,0,0,Summer,46366,5809,7922,False
2015,08/23,Boise,1.05,44059,14861,4433,7420,0,0,Summer,51479,14861,4433,False
2015,08/16,Boise,1.12,46189,5258,6457,6090,0,6,Summer,52279,5258,6463,False
2015,08/09,Boise,1.1,44739,5034,3931,7568,13,0,Summer,52307,5047,3931,False
2015,08/02,Boise,1.07,51151,5140,5435,5987,48,0,Summer,57138,5188,5435,False
2015,07/26,Boise,1.07,50978,4856,5479,6358,153,0,Summer,57336,5009,5479,False
2015,07/19,Boise,1.09,45921,5300,5565,6354,816,0,Summer,52275,6116,5565,False
2015,07/12,Boise,1.05,51828,5802,7474,8335,1236,0,Summer,60163,7038,7474,False
2015,07/05,Boise,1.15,61949,8022,8434,6557,80,0,Summer,68506,8102,8434,False
2015,06/28,Boise,1.04,59111,6573,3974,5619,0,1,Summer,64730,6573,3975,False
2015,06/21,Boise,1.06,52790,15444,5875,7021,0,264,Summer,59811,15444,6139,False
2015,06/14,Boise,0.99,58791,17880,3135,7800,0,0,Summer,66591,17880,3135,False
2015,06/07,Boise,1.12,61245,7237,6655,5603,8,0,Summer,66848,7245,6655,False
2015,05/31,Boise,0.97,57373,7421,4028,7860,5,0,Spring,65233,7426,4028,False
2015,05/24,Boise,1.03,54825,14839,6037,7469,0,37,Spring,62294,14839,6074,False
2015,05/17,Boise,0.96,61319,7393,2919,6345,0,8,Spring,67664,7393,2927,False
2015,05/10,Boise,1.06,62505,15896,7891,9453,0,42,Spring,71958,15896,7933,False
2015,05/03,Boise,1.0,66880,7942,4289,6349,0,4,Spring,73229,7942,4293,False
2015,04/26,Boise,0.96,69544,7985,3401,7174,0,4,Spring,76718,7985,3405,False
2015,04/19,Boise,0.99,56843,21630,3260,7953,0,6,Spring,64796,21630,3266,False
2015,04/12,Boise,1.19,44469,8506,7523,5747,0,0,Spring,50216,8506,7523,False
2015,04/05,Boise,1.09,57339,9060,3790,6510,0,3,Spring,63849,9060,3793,False
2015,03/29,Boise,0.98,59532,7119,3101,4789,0,0,Spring,64321,7119,3101,False
2015,03/22,Boise,1.17,44227,6589,7290,3311,0,0,Spring,47538,6589,7290,False
2015,03/15,Boise,1.0,51472,7018,2981,4445,0,0,Spring,55917,7018,2981,False
2015,03/08,Boise,1.14,45879,7206,7403,4860,0,0,Spring,50739,7206,7403,False
2015,03/01,Boise,1.06,40578,23738,3491,6478,759,0,Spring,47056,24497,3491,False
2015,02/22,Boise,0.99,50872,16374,2122,7235,232,0,Winter,58107,16606,2122,False
2015,02/15,Boise,1.14,41547,7840,6492,3647,1693,0,Winter,45194,9533,6492,False
2015,02/08,Boise,1.07,54229,9647,3047,1373,1673,0,Winter,55602,11320,3047,False
2015,02/01,Boise,0.91,67496,36532,2904,4867,1777,0,Winter,72363,38309,2904,False
2015,01/25,Boise,1.03,51922,7555,2061,2009,2520,0,Winter,53931,10075,2061,False
2015,01/18,Boise,1.08,50354,6342,2257,1119,2796,0,Winter,51473,9138,2257,False
2015,01/11,Boise,1.18,38112,10997,3321,3295,1628,0,Winter,41407,12625,3321,False
2015,01/04,Boise,1.01,44562,24964,2752,6064,1691,0,Winter,50626,26655,2752,False
2015,12/27,Boston,1.13,3886,346964,13952,85913,99,0,Winter,89799,347063,13952,False
2015,12/20,Boston,1.07,4912,390100,5887,88768,133,0,Winter,93680,390233,5887,False
2015,12/13,Boston,1.01,4641,455362,219,89523,199,0,Winter,94164,455561,219,False
2015,12/06,Boston,1.02,5126,407520,142,75666,223,0,Winter,80792,407743,142,False
2015,11/29,Boston,1.19,3609,272719,105,73864,261,0,Fall,77473,272980,105,False
2015,11/22,Boston,1.07,4457,383420,233,78161,486,0,Fall,82618,383906,233,False
2015,11/15,Boston,1.05,5310,420936,139,85604,1747,0,Fall,90914,422683,139,False
2015,11/08,Boston,1.04,5304,542880,231,88265,5077,0,Fall,93569,547957,231,False
2015,11/01,Boston,1.06,4886,449532,170,93443,5064,0,Fall,98329,454596,170,False
2015,10/25,Boston,1.02,4005,430725,191,94581,4745,0,Fall,98586,435470,191,False
2015,10/18,Boston,0.94,6409,627503,332,86046,5003,0,Fall,92455,632506,332,False
2015,10/11,Boston,1.14,5145,378295,355,97513,4396,0,Fall,102658,382691,355,False
2015,10/04,Boston,1.07,5804,427358,277,97207,5831,0,Fall,103011,433189,277,False
2015,09/27,Boston,1.07,5210,463079,289,82123,2603,0,Fall,87333,465682,289,False
2015,09/20,Boston,1.15,4376,398673,418,91612,3558,0,Fall,95988,402231,418,False
2015,09/13,Boston,1.03,5422,560792,353,84843,4271,0,Fall,90265,565063,353,False
2015,09/06,Boston,1.11,4237,477867,496,94558,614,0,Fall,98795,478481,496,False
2015,08/30,Boston,1.13,4177,438502,554,83242,188,0,Summer,87419,438690,554,False
2015,08/23,Boston,1.07,4744,488292,608,95585,241,0,Summer,100329,488533,608,False
2015,08/16,Boston,1.15,4460,464476,748,95887,222,0,Summer,100347,464698,748,False
2015,08/09,Boston,1.07,4173,590998,827,94287,231,0,Summer,98460,591229,827,False
2015,08/02,Boston,1.17,4442,468591,1451,97214,294,0,Summer,101656,468885,1451,False
2015,07/26,Boston,1.28,4299,393281,1957,100466,228,0,Summer,104765,393509,1957,False
2015,07/19,Boston,1.18,4720,477629,5071,109519,227,0,Summer,114239,477856,5071,False
2015,07/12,Boston,1.14,5332,471639,9361,146946,1236,0,Summer,152278,472875,9361,False
2015,07/05,Boston,1.27,4743,418251,11053,145982,2878,0,Summer,150725,421129,11053,False
2015,06/28,Boston,1.25,4688,403230,9120,142574,881,0,Summer,147262,404111,9120,False
2015,06/21,Boston,1.24,3582,404908,8899,125821,293,0,Summer,129403,405201,8899,False
2015,06/14,Boston,1.08,5104,521254,6545,151258,183,0,Summer,156362,521437,6545,False
2015,06/07,Boston,1.25,4034,421007,93,137224,183,0,Summer,141258,421190,93,False
2015,05/31,Boston,1.26,4128,418105,108,142515,303,0,Spring,146643,418408,108,False
2015,05/24,Boston,1.14,4601,490485,276,137769,388,0,Spring,142370,490873,276,False
2015,05/17,Boston,1.26,4285,380514,162,147667,1858,0,Spring,151952,382372,162,False
2015,05/10,Boston,1.14,4601,476827,131,141309,2688,0,Spring,145910,479515,131,False
2015,05/03,Boston,1.17,3828,429586,239,115148,3565,0,Spring,118976,433151,239,False
2015,04/26,Boston,1.28,3915,352464,131,106866,2533,0,Spring,110781,354997,131,False
2015,04/19,Boston,1.15,4013,384880,162,114562,1000,0,Spring,118575,385880,162,False
2015,04/12,Boston,1.26,3575,294164,106,108644,1994,0,Spring,112219,296158,106,False
2015,04/05,Boston,1.27,3657,330424,99,113541,1948,145,Spring,117198,332372,244,False
2015,03/29,Boston,1.19,3619,339299,151,108838,1723,0,Spring,112457,341022,151,False
2015,03/22,Boston,1.18,5956,344396,155,102204,460,0,Spring,108160,344856,155,False
2015,03/15,Boston,1.25,6085,308996,111,101931,624,0,Spring,108016,309620,111,False
2015,03/08,Boston,1.17,3425,290512,78,113811,575,0,Spring,117236,291087,78,False
2015,03/01,Boston,1.11,4106,383573,192,97423,439,0,Spring,101529,384012,192,False
2015,02/22,Boston,1.23,3232,251341,142,100498,217,0,Winter,103730,251558,142,False
2015,02/15,Boston,1.2,3794,281106,143,114283,555,0,Winter,118077,281661,143,False
2015,02/08,Boston,1.04,7653,495731,383,105403,813,0,Winter,113056,496544,383,False
2015,02/01,Boston,1.22,6082,373452,272,109900,313,0,Winter,115982,373765,272,False
2015,01/25,Boston,1.17,4730,288094,45,115538,934,0,Winter,120268,289028,45,False
2015,01/18,Boston,1.23,4383,287778,132,108668,367,0,Winter,113051,288145,132,False
2015,01/11,Boston,1.1,5548,320577,121,111192,331,0,Winter,116740,320908,121,False
2015,01/04,Boston,1.02,7193,396752,128,87406,256,0,Winter,94599,397008,128,False
2015,12/27,BuffaloRochester,1.35,1367,39542,85,55236,0,0,Winter,56603,39542,85,False
2015,12/20,BuffaloRochester,1.37,1164,38430,106,51165,0,0,Winter,52329,38430,106,False
2015,12/13,BuffaloRochester,1.35,1421,40783,66,56202,0,0,Winter,57623,40783,66,False
2015,12/06,BuffaloRochester,1.23,1737,58197,167,48355,0,0,Winter,50092,58197,167,False
2015,11/29,BuffaloRochester,1.39,1514,35682,113,42662,0,0,Fall,44176,35682,113,False
2015,11/22,BuffaloRochester,1.4,1711,38780,107,49642,0,0,Fall,51353,38780,107,False
2015,11/15,BuffaloRochester,1.36,1803,41457,107,55593,742,0,Fall,57396,42199,107,False
2015,11/08,BuffaloRochester,1.3,1288,49507,55,58885,1302,0,Fall,60173,50809,55,False
2015,11/01,BuffaloRochester,1.23,2181,61874,186,52956,1342,0,Fall,55137,63216,186,False
2015,10/25,BuffaloRochester,1.36,1545,36645,79,59381,1902,0,Fall,60926,38547,79,False
2015,10/18,BuffaloRochester,1.29,1536,40701,58,62627,1160,0,Fall,64163,41861,58,False
2015,10/11,BuffaloRochester,1.3,2170,50862,96,54829,1195,0,Fall,56999,52057,96,False
2015,10/04,BuffaloRochester,1.33,3020,38353,101,56141,1284,0,Fall,59161,39637,101,False
2015,09/27,BuffaloRochester,1.31,1908,60292,106,27767,671,0,Fall,29675,60963,106,False
2015,09/20,BuffaloRochester,1.54,1445,39831,88,18437,821,0,Fall,19882,40652,88,False
2015,09/13,BuffaloRochester,1.59,1572,48468,134,22421,445,0,Fall,23993,48913,134,False
2015,09/06,BuffaloRochester,1.56,1471,49388,173,25092,13,0,Fall,26563,49401,173,False
2015,08/30,BuffaloRochester,1.38,1406,61600,241,20483,0,0,Summer,21889,61600,241,False
2015,08/23,BuffaloRochester,1.49,1287,43655,170,23840,0,0,Summer,25127,43655,170,False
2015,08/16,BuffaloRochester,1.5,1230,45937,258,22371,0,0,Summer,23601,45937,258,False
2015,08/09,BuffaloRochester,1.47,1139,56289,349,24051,0,0,Summer,25190,56289,349,False
2015,08/02,BuffaloRochester,1.47,1447,44620,471,31622,0,0,Summer,33069,44620,471,False
2015,07/26,BuffaloRochester,1.39,1679,45615,741,43788,0,0,Summer,45467,45615,741,False
2015,07/19,BuffaloRochester,1.36,1165,54492,2205,70982,0,0,Summer,72147,54492,2205,False
2015,07/12,BuffaloRochester,1.45,1119,47294,4714,73796,426,0,Summer,74915,47720,4714,False
2015,07/05,BuffaloRochester,1.47,1503,56925,6707,74370,906,0,Summer,75873,57831,6707,False
2015,06/28,BuffaloRochester,1.36,1235,51801,5397,78749,62,0,Summer,79984,51863,5397,False
2015,06/21,BuffaloRochester,1.5,1254,47845,5424,54130,0,0,Summer,55384,47845,5424,False
2015,06/14,BuffaloRochester,1.34,1183,48286,4432,95473,0,0,Summer,96656,48286,4432,False
2015,06/07,BuffaloRochester,1.38,779,57999,138,71990,0,0,Summer,72769,57999,138,False
2015,05/31,BuffaloRochester,1.4,1039,54249,79,75473,0,0,Spring,76512,54249,79,False
2015,05/24,BuffaloRochester,1.43,1033,55018,103,65741,44,0,Spring,66774,55062,103,False
