year,Month Week,region,AveragePrice,Total Volume,Total Singles,Total Bags,type
2015,10/18,Atlanta,1.09,349072,288733,60339,conventional
2015,10/11,Atlanta,0.95,433874,347580,86294,conventional
2015,10/04,Atlanta,0.96,418682,359221,59460,conventional
2015,09/27,Atlanta,1.07,370321,324658,45662,conventional
2015,09/20,Atlanta,0.93,516432,430230,86201,conventional
2015,09/13,Atlanta,1.07,417232,341249,75983,conventional
2015,09/06,Atlanta,0.97,472136,377700,94436,conventional
2015,08/30,Atlanta,1.15,382972,321691,61281,conventional
2015,08/23,Atlanta,1.12,379054,321636,57418,conventional
2015,08/16,Atlanta,1.09,465213,405996,59216,conventional
2015,08/09,Atlanta,1.01,503791,436319,67472,conventional
2015,08/02,Atlanta,1.15,405898,352010,53888,conventional
2015,07/26,Atlanta,1.08,437377,380167,57210,conventional
2015,07/19,Atlanta,0.97,557212,495920,61292,conventional
2015,07/12,Atlanta,1.14,407204,348901,58303,conventional
2015,07/05,Atlanta,1.01,562462,491901,70560,conventional
2015,06/28,Atlanta,1.13,435210,369868,65342,conventional
2015,06/21,Atlanta,0.99,554763,480221,74542,conventional
2015,06/14,Atlanta,1.1,465804,404543,61261,conventional
2015,06/07,Atlanta,0.99,551009,478718,72290,conventional
2015,05/31,Atlanta,1.1,454702,402966,51735,conventional
2015,05/24,Atlanta,0.96,623212,566672,56539,conventional
2015,05/17,Atlanta,1.11,451250,405858,45392,conventional
2015,05/10,Atlanta,1.1,480071,433402,46668,conventional
2015,05/03,Atlanta,1.0,634213,568031,66181,conventional
2015,04/26,Atlanta,1.12,448596,407084,41511,conventional
2015,04/19,Atlanta,1.12,430966,387623,43342,conventional
2015,04/12,Atlanta,0.99,451101,400217,50884,conventional
2015,04/05,Atlanta,1.04,383139,338102,45037,conventional
2015,03/29,Atlanta,1.11,365722,321941,43780,conventional
2015,03/22,Atlanta,1.0,479590,417315,62275,conventional
2015,03/15,Atlanta,1.12,399566,352990,46575,conventional
2015,03/08,Atlanta,1.1,420826,377584,43241,conventional
2015,03/01,Atlanta,0.99,512532,463075,49456,conventional
2015,02/22,Atlanta,1.1,431308,387878,43430,conventional
2015,02/15,Atlanta,1.06,427391,382505,44885,conventional
2015,02/08,Atlanta,1.03,433883,394943,38940,conventional
2015,02/01,Atlanta,0.96,636771,585076,51694,conventional
2015,01/25,Atlanta,1.1,449332,412720,36612,conventional
2015,01/18,Atlanta,1.11,431490,391450,40040,conventional
2015,01/11,Atlanta,1.11,397542,350504,47038,conventional
2015,01/04,Atlanta,1.0,435021,388205,46815,conventional
2015,12/27,BaltimoreWashington,1.17,596819,451908,144911,conventional
2015,12/20,BaltimoreWashington,1.11,642682,498444,144238,conventional
2015,12/13,BaltimoreWashington,1.15,619509,468543,150966,conventional
2015,12/06,BaltimoreWashington,1.04,649141,530476,118664,conventional
2015,11/29,BaltimoreWashington,1.16,545800,440331,105468,conventional
2015,11/22,BaltimoreWashington,1.12,572019,450349,121670,conventional
2015,11/15,BaltimoreWashington,1.04,718330,588570,129760,conventional
2015,11/08,BaltimoreWashington,1.05,830967,686127,144840,conventional
2015,11/01,BaltimoreWashington,1.12,742220,584294,157925,conventional
2015,10/25,BaltimoreWashington,1.19,656892,500763,156128,conventional
2015,10/18,BaltimoreWashington,0.99,1005603,853678,151925,conventional
2015,10/11,BaltimoreWashington,1.24,653560,485205,168354,conventional
2015,10/04,BaltimoreWashington,1.28,657444,485210,172234,conventional
2015,09/27,BaltimoreWashington,1.19,696281,544388,151893,conventional
2015,09/20,BaltimoreWashington,1.17,709268,535239,174029,conventional
2015,09/13,BaltimoreWashington,1.09,924993,773494,151499,conventional
2015,09/06,BaltimoreWashington,1.18,823623,654652,168970,conventional
2015,08/30,BaltimoreWashington,1.24,734721,549417,185304,conventional
2015,08/23,BaltimoreWashington,1.16,783935,605558,178376,conventional
2015,08/16,BaltimoreWashington,1.14,882754,726779,155975,conventional
2015,08/09,BaltimoreWashington,1.16,821523,656660,164862,conventional
2015,08/02,BaltimoreWashington,1.17,800603,633874,166728,conventional
2015,07/26,BaltimoreWashington,1.2,772926,594265,178660,conventional
2015,07/19,BaltimoreWashington,1.18,800194,599481,200713,conventional
2015,07/12,BaltimoreWashington,1.1,850931,657044,193887,conventional
2015,07/05,BaltimoreWashington,1.16,896298,690189,206108,conventional
2015,06/28,BaltimoreWashington,1.15,862261,650697,211564,conventional
2015,06/21,BaltimoreWashington,1.16,862840,638218,224622,conventional
2015,06/14,BaltimoreWashington,1.09,955046,705849,249197,conventional
2015,06/07,BaltimoreWashington,1.26,794310,569257,225052,conventional
2015,05/31,BaltimoreWashington,1.19,949177,731391,217785,conventional
2015,05/24,BaltimoreWashington,1.18,908661,674158,234503,conventional
2015,05/17,BaltimoreWashington,1.27,790853,563522,227331,conventional
2015,05/10,BaltimoreWashington,1.26,855205,630686,224519,conventional
2015,05/03,BaltimoreWashington,1.17,896972,687285,209686,conventional
2015,04/26,BaltimoreWashington,1.29,747841,529489,218351,conventional
2015,04/19,BaltimoreWashington,1.28,762862,537235,225627,conventional
2015,04/12,BaltimoreWashington,1.15,837629,636237,201392,conventional
2015,04/05,BaltimoreWashington,1.29,688065,496725,191339,conventional
2015,03/29,BaltimoreWashington,1.25,663677,499908,163768,conventional
2015,03/22,BaltimoreWashington,1.1,808897,632511,176385,conventional
2015,03/15,BaltimoreWashington,1.24,693698,495833,197864,conventional
2015,03/08,BaltimoreWashington,1.26,657745,465223,192522,conventional
2015,03/01,BaltimoreWashington,1.16,770115,598154,171961,conventional
2015,02/22,BaltimoreWashington,1.11,749845,559083,190762,conventional
2015,02/15,BaltimoreWashington,1.25,637319,457329,179990,conventional
2015,02/08,BaltimoreWashington,1.09,844931,663998,180932,conventional
2015,02/01,BaltimoreWashington,1.06,1007418,842829,164589,conventional
2015,01/25,BaltimoreWashington,1.2,692934,475583,217350,conventional
2015,01/18,BaltimoreWashington,1.23,657741,483882,173858,conventional
2015,01/11,BaltimoreWashington,1.17,670231,514825,155406,conventional
2015,01/04,BaltimoreWashington,1.08,788025,646888,141136,conventional
2015,12/27,Boise,0.97,62909,39348,23561,conventional
2015,12/20,Boise,1.03,57504,35568,21935,conventional
2015,12/13,Boise,0.99,58461,36592,21868,conventional
2015,12/06,Boise,0.71,95295,52203,43091,conventional
2015,11/29,Boise,1.06,49069,33011,16057,conventional
2015,11/22,Boise,1.09,52875,35327,17547,conventional
2015,11/15,Boise,1.01,68648,43012,25635,conventional
2015,11/08,Boise,1.11,55847,42847,12999,conventional
2015,11/01,Boise,1.14,53585,41222,12362,conventional
2015,10/25,Boise,1.11,59874,46162,13711,conventional
2015,10/18,Boise,1.16,54191,45269,8921,conventional
2015,10/11,Boise,0.94,80904,67134,13769,conventional
2015,10/04,Boise,1.12,59496,53527,5968,conventional
2015,09/27,Boise,0.99,64187,56424,7763,conventional
2015,09/20,Boise,1.03,73952,63059,10893,conventional
2015,09/13,Boise,1.08,64208,56726,7482,conventional
2015,09/06,Boise,1.16,64464,57528,6936,conventional
2015,08/30,Boise,1.19,60099,54659,5440,conventional
2015,08/23,Boise,1.05,70773,63353,7420,conventional
2015,08/16,Boise,1.12,64001,57904,6096,conventional
2015,08/09,Boise,1.1,61286,53704,7582,conventional
2015,08/02,Boise,1.07,67763,61727,6036,conventional
2015,07/26,Boise,1.07,67826,61314,6511,conventional
2015,07/19,Boise,1.09,63958,56787,7170,conventional
2015,07/12,Boise,1.05,74677,65105,9571,conventional
2015,07/05,Boise,1.15,85044,78406,6637,conventional
2015,06/28,Boise,1.04,75280,69659,5621,conventional
2015,06/21,Boise,1.06,81397,74110,7286,conventional
2015,06/14,Boise,0.99,87607,79807,7800,conventional
2015,06/07,Boise,1.12,80751,75138,5612,conventional
2015,05/31,Boise,0.97,76689,68823,7866,conventional
2015,05/24,Boise,1.03,83209,75702,7507,conventional
2015,05/17,Boise,0.96,77987,71633,6354,conventional
2015,05/10,Boise,1.06,95788,86293,9495,conventional
2015,05/03,Boise,1.0,85466,79112,6354,conventional
2015,04/26,Boise,0.96,88111,80931,7179,conventional
2015,04/19,Boise,0.99,89694,81734,7960,conventional
2015,04/12,Boise,1.19,66246,60498,5747,conventional
2015,04/05,Boise,1.09,76704,70190,6513,conventional
2015,03/29,Boise,0.98,74543,69754,4789,conventional
2015,03/22,Boise,1.17,61419,58107,3311,conventional
2015,03/15,Boise,1.0,65918,61472,4445,conventional
2015,03/08,Boise,1.14,65350,60489,4860,conventional
2015,03/01,Boise,1.06,75046,67808,7237,conventional
2015,02/22,Boise,0.99,76836,69368,7467,conventional
2015,02/15,Boise,1.14,61221,55881,5340,conventional
2015,02/08,Boise,1.07,69970,66923,3047,conventional
2015,02/01,Boise,0.91,113578,106933,6644,conventional
2015,01/25,Boise,1.03,66069,61539,4530,conventional
2015,01/18,Boise,1.08,62870,58954,3915,conventional
2015,01/11,Boise,1.18,57355,52431,4923,conventional
2015,01/04,Boise,1.01,80034,72278,7755,conventional
2015,12/27,Boston,1.13,450816,364803,86012,conventional
2015,12/20,Boston,1.07,489802,400901,88901,conventional
2015,12/13,Boston,1.01,549945,460222,89722,conventional
2015,12/06,Boston,1.02,488679,412789,75889,conventional
2015,11/29,Boston,1.19,350559,276434,74125,conventional
2015,11/22,Boston,1.07,466759,388111,78648,conventional
2015,11/15,Boston,1.05,513738,426386,87352,conventional
2015,11/08,Boston,1.04,641759,548416,93342,conventional
2015,11/01,Boston,1.06,553096,454588,98507,conventional
2015,10/25,Boston,1.02,534249,434922,99326,conventional
2015,10/18,Boston,0.94,725296,634246,91049,conventional
2015,10/11,Boston,1.14,485706,383796,101909,conventional
2015,10/04,Boston,1.07,536479,433440,103038,conventional
2015,09/27,Boston,1.07,553307,468580,84726,conventional
2015,09/20,Boston,1.15,498640,403468,95171,conventional
2015,09/13,Boston,1.03,655682,566568,89114,conventional
2015,09/06,Boston,1.11,577774,482601,95172,conventional
2015,08/30,Boston,1.13,526664,443233,83430,conventional
2015,08/23,Boston,1.07,589471,493644,95826,conventional
2015,08/16,Boston,1.15,565795,469685,96109,conventional
2015,08/09,Boston,1.07,690517,595998,94518,conventional
2015,08/02,Boston,1.17,571994,474485,97508,conventional
2015,07/26,Boston,1.28,500233,399538,100694,conventional
2015,07/19,Boston,1.18,597168,487421,109746,conventional
2015,07/12,Boston,1.14,634515,486333,148182,conventional
2015,07/05,Boston,1.27,582909,434048,148861,conventional
2015,06/28,Boston,1.25,560494,417039,143455,conventional
2015,06/21,Boston,1.24,543504,417390,126114,conventional
2015,06/14,Boston,1.08,684346,532904,151442,conventional
2015,06/07,Boston,1.25,562542,425134,137408,conventional
2015,05/31,Boston,1.26,565160,422342,142818,conventional
2015,05/24,Boston,1.14,633521,495364,138157,conventional
2015,05/17,Boston,1.26,534488,384962,149526,conventional
2015,05/10,Boston,1.14,625558,481560,143997,conventional
2015,05/03,Boston,1.17,552368,433654,118714,conventional
2015,04/26,Boston,1.28,465911,356511,109400,conventional
2015,04/19,Boston,1.15,504619,389057,115562,conventional
2015,04/12,Boston,1.26,408485,297846,110638,conventional
2015,04/05,Boston,1.27,449818,334182,115635,conventional
2015,03/29,Boston,1.19,453631,343069,110561,conventional
2015,03/22,Boston,1.18,453173,350509,102664,conventional
2015,03/15,Boston,1.25,417750,315194,102556,conventional
2015,03/08,Boston,1.17,408403,294017,114386,conventional
2015,03/01,Boston,1.11,485736,387873,97862,conventional
2015,02/22,Boston,1.23,355432,254716,100715,conventional
2015,02/15,Boston,1.2,399883,285044,114839,conventional
2015,02/08,Boston,1.04,609985,503768,106216,conventional
2015,02/01,Boston,1.22,490022,379807,110214,conventional
2015,01/25,Boston,1.17,409343,292871,116472,conventional
2015,01/18,Boston,1.23,401331,292294,109036,conventional
2015,01/11,Boston,1.1,437771,326247,111524,conventional
2015,01/04,Boston,1.02,491738,404074,87663,conventional
2015,12/27,BuffaloRochester,1.35,96233,40996,55236,conventional
2015,12/20,BuffaloRochester,1.37,90867,39702,51165,conventional
2015,12/13,BuffaloRochester,1.35,98473,42270,56202,conventional
2015,12/06,BuffaloRochester,1.23,108457,60102,48355,conventional
2015,11/29,BuffaloRochester,1.39,79973,37310,42662,conventional
2015,11/22,BuffaloRochester,1.4,90242,40599,49642,conventional
2015,11/15,BuffaloRochester,1.36,99703,43368,56335,conventional
2015,11/08,BuffaloRochester,1.3,111038,50851,60187,conventional
2015,11/01,BuffaloRochester,1.23,118541,64242,54298,conventional
2015,10/25,BuffaloRochester,1.36,99554,38271,61283,conventional
2015,10/18,BuffaloRochester,1.29,106083,42296,63787,conventional
2015,10/11,BuffaloRochester,1.3,109153,53128,56025,conventional
2015,10/04,BuffaloRochester,1.33,98900,41474,57425,conventional
2015,09/27,BuffaloRochester,1.31,90745,62307,28438,conventional
2015,09/20,BuffaloRochester,1.54,60624,41365,19258,conventional
2015,09/13,BuffaloRochester,1.59,73043,50175,22867,conventional
2015,09/06,BuffaloRochester,1.56,76139,51033,25106,conventional
2015,08/30,BuffaloRochester,1.38,83731,63248,20483,conventional
2015,08/23,BuffaloRochester,1.49,68953,45112,23840,conventional
2015,08/16,BuffaloRochester,1.5,69798,47426,22371,conventional
2015,08/09,BuffaloRochester,1.47,81830,57778,24051,conventional
2015,08/02,BuffaloRochester,1.47,78162,46540,31622,conventional
2015,07/26,BuffaloRochester,1.39,91825,48036,43788,conventional
2015,07/19,BuffaloRochester,1.36,128846,57863,70982,conventional
2015,07/12,BuffaloRochester,1.45,127351,53128,74222,conventional
2015,07/05,BuffaloRochester,1.47,140413,65136,75277,conventional
2015,06/28,BuffaloRochester,1.36,137246,58434,78811,conventional
2015,06/21,BuffaloRochester,1.5,108655,54524,54130,conventional
2015,06/14,BuffaloRochester,1.34,149376,53902,95473,conventional
2015,06/07,BuffaloRochester,1.38,130908,58917,71990,conventional
2015,05/31,BuffaloRochester,1.4,130841,55367,75473,conventional
2015,05/24,BuffaloRochester,1.43,121942,56156,65785,conventional
2015,05/17,BuffaloRochester,1.35,137050,62657,74392,conventional
2015,05/10,BuffaloRochester,1.33,170547,75261,95285,conventional
2015,05/03,BuffaloRochester,1.42,136771,51294,85477,conventional
2015,04/26,BuffaloRochester,1.41,136964,50780,86183,conventional
2015,04/19,BuffaloRochester,1.42,139612,54035,85576,conventional
2015,04/12,BuffaloRochester,1.42,118172,46420,71752,conventional
2015,04/05,BuffaloRochester,1.44,124145,52088,72056,conventional
2015,03/29,BuffaloRochester,1.39,119890,49863,70027,conventional
2015,03/22,BuffaloRochester,1.4,119902,48558,71344,conventional
2015,03/15,BuffaloRochester,1.47,103413,49255,54157,conventional
2015,03/08,BuffaloRochester,1.35,125724,63148,62576,conventional
2015,03/01,BuffaloRochester,1.43,112363,42822,69541,conventional
2015,02/22,BuffaloRochester,1.41,109546,47234,62312,conventional
2015,02/15,BuffaloRochester,1.44,100207,44850,55357,conventional
2015,02/08,BuffaloRochester,1.36,132760,68246,64513,conventional
2015,02/01,BuffaloRochester,1.33,153920,67000,86919,conventional
2015,01/25,BuffaloRochester,1.5,114052,55403,58649,conventional
2015,01/18,BuffaloRochester,1.52,107040,63618,43421,conventional
2015,01/11,BuffaloRochester,1.54,106221,52707,53514,conventional
2015,01/04,BuffaloRochester,1.4,116253,59070,57182,conventional
2015,12/27,Charlotte,0.96,156698,119068,37630,conventional
2015,12/20,Charlotte,0.98,139917,104863,35054,conventional
2015,12/13,Charlotte,0.95,157146,118114,39031,conventional
2015,12/06,Charlotte,0.99,156114,125674,30439,conventional
2015,11/29,Charlotte,0.95,138858,108067,30791,conventional
2015,11/22,Charlotte,1.0,133618,107895,25723,conventional
2015,11/15,Charlotte,1.01,169281,145648,23632,conventional
2015,11/08,Charlotte,1.03,164322,134599,29723,conventional
2015,11/01,Charlotte,1.11,171793,134420,37373,conventional
2015,10/25,Charlotte,1.27,140920,106333,34587,conventional
2015,10/18,Charlotte,1.26,156565,122031,34534,conventional
2015,10/11,Charlotte,1.14,167396,127600,39795,conventional
2015,10/04,Charlotte,1.22,146737,108686,38050,conventional
2015,09/27,Charlotte,1.09,168780,137159,31620,conventional
2015,09/20,Charlotte,1.2,161443,114090,47353,conventional
2015,09/13,Charlotte,1.19,171077,108209,62868,conventional
2015,09/06,Charlotte,1.01,227728,161686,66041,conventional
2015,08/30,Charlotte,1.2,179026,113343,65683,conventional
2015,08/23,Charlotte,1.15,203298,124433,78864,conventional
2015,08/16,Charlotte,1.24,178525,115539,62985,conventional
2015,08/09,Charlotte,1.21,173059,111313,61746,conventional
2015,08/02,Charlotte,1.24,179321,118621,60699,conventional
2015,07/26,Charlotte,1.23,173896,109769,64127,conventional
2015,07/19,Charlotte,1.19,187575,121969,65605,conventional
2015,07/12,Charlotte,1.18,182856,115005,67851,conventional
2015,07/05,Charlotte,1.18,216118,144875,71243,conventional
2015,06/28,Charlotte,1.17,193654,123900,69753,conventional
2015,06/21,Charlotte,1.17,201173,128124,73048,conventional
2015,06/14,Charlotte,1.15,207093,137269,69824,conventional
2015,06/07,Charlotte,1.15,199980,127329,72650,conventional
2015,05/31,Charlotte,1.19,194630,133477,61153,conventional
2015,05/24,Charlotte,1.2,212527,148850,63676,conventional
2015,05/17,Charlotte,1.21,190799,131013,59786,conventional
2015,05/10,Charlotte,1.19,192767,128860,63906,conventional
2015,05/03,Charlotte,1.0,261492,197277,64214,conventional
2015,04/26,Charlotte,1.2,182141,122239,59902,conventional
2015,04/19,Charlotte,1.18,180944,116325,64618,conventional
2015,04/12,Charlotte,1.17,204005,138821,65183,conventional
2015,04/05,Charlotte,1.19,177919,119771,58148,conventional
2015,03/29,Charlotte,1.23,178788,125927,52860,conventional
2015,03/22,Charlotte,1.19,182876,123464,59411,conventional
2015,03/15,Charlotte,1.19,183944,131473,52470,conventional
2015,03/08,Charlotte,1.25,159386,105474,53912,conventional
2015,03/01,Charlotte,1.18,176146,120420,55725,conventional
2015,02/22,Charlotte,1.08,201741,154768,46972,conventional
2015,02/15,Charlotte,1.22,156798,107250,49548,conventional
2015,02/08,Charlotte,1.17,150139,98855,51284,conventional
2015,02/01,Charlotte,0.98,254009,204939,49070,conventional
2015,01/25,Charlotte,1.18,167270,112960,54309,conventional
2015,01/18,Charlotte,1.25,152671,105616,47055,conventional
2015,01/11,Charlotte,1.26,159942,110506,49435,conventional
2015,01/04,Charlotte,1.19,166006,115208,50797,conventional
2015,12/27,Chicago,0.93,661137,566396,94741,conventional
2015,12/20,Chicago,0.91,690669,596605,94063,conventional
2015,12/13,Chicago,1.07,668601,586013,82588,conventional
2015,12/06,Chicago,1.14,664020,601109,62910,conventional
2015,11/29,Chicago,1.11,602481,540319,62161,conventional
2015,11/22,Chicago,0.94,751897,678146,73751,conventional
2015,11/15,Chicago,1.17,641881,566897,74984,conventional
2015,11/08,Chicago,1.01,711146,644980,66166,conventional
2015,11/01,Chicago,1.0,807041,738171,68869,conventional
2015,10/25,Chicago,1.12,687650,621526,66124,conventional
2015,10/18,Chicago,1.15,690302,627186,63116,conventional
2015,10/11,Chicago,1.08,708914,640265,68648,conventional
2015,10/04,Chicago,1.18,675172,605242,69930,conventional
2015,09/27,Chicago,1.15,720501,649706,70795,conventional
2015,09/20,Chicago,1.19,729117,654225,74891,conventional
2015,09/13,Chicago,1.19,775671,692757,82914,conventional
2015,09/06,Chicago,1.11,808677,722475,86202,conventional
2015,08/30,Chicago,1.12,773773,699854,73918,conventional
2015,08/23,Chicago,1.2,751850,671577,80272,conventional
2015,08/16,Chicago,1.16,817690,733883,83807,conventional
2015,08/09,Chicago,1.25,731125,649336,81788,conventional
2015,08/02,Chicago,1.27,761027,678851,82175,conventional
2015,07/26,Chicago,1.12,791332,703180,88152,conventional
2015,07/19,Chicago,1.24,797060,698316,98743,conventional
2015,07/12,Chicago,1.26,772151,677822,94328,conventional
2015,07/05,Chicago,1.24,937317,808264,129052,conventional
2015,06/28,Chicago,1.21,786250,656463,129786,conventional
2015,06/21,Chicago,1.24,804902,693880,111021,conventional
2015,06/14,Chicago,1.21,868197,749172,119024,conventional
2015,06/07,Chicago,1.24,824216,719003,105212,conventional
2015,05/31,Chicago,1.26,803571,702146,101425,conventional
2015,05/24,Chicago,1.23,887105,782841,104263,conventional
2015,05/17,Chicago,1.23,817870,732335,85534,conventional
2015,05/10,Chicago,1.23,835938,742622,93316,conventional
2015,05/03,Chicago,1.04,978376,884660,93715,conventional
2015,04/26,Chicago,1.24,779868,687162,92705,conventional
2015,04/19,Chicago,1.24,832529,740368,92160,conventional
2015,04/12,Chicago,1.24,710718,616565,94153,conventional
2015,04/05,Chicago,1.27,751812,660389,91422,conventional
2015,03/29,Chicago,1.22,757271,655813,101458,conventional
2015,03/22,Chicago,1.21,799946,709587,90358,conventional
2015,03/15,Chicago,1.09,827010,729755,97254,conventional
2015,03/08,Chicago,1.18,772997,663541,109455,conventional
2015,03/01,Chicago,1.09,863391,772971,90420,conventional
2015,02/22,Chicago,1.18,773078,678638,94439,conventional
2015,02/15,Chicago,1.17,726401,628750,97651,conventional
2015,02/08,Chicago,1.13,729325,646989,82336,conventional
2015,02/01,Chicago,0.91,1133491,1040413,93077,conventional
2015,01/25,Chicago,1.22,745439,660218,85220,conventional
2015,01/18,Chicago,1.14,797741,698875,98865,conventional
2015,01/11,Chicago,1.15,802874,723576,79298,conventional
2015,01/04,Chicago,1.11,783068,705528,77539,conventional
2015,12/27,CincinnatiDayton,0.87,162993,112624,50369,conventional
2015,12/20,CincinnatiDayton,0.85,175425,119179,56245,conventional
2015,12/13,CincinnatiDayton,0.79,207386,131921,75464,conventional
2015,12/06,CincinnatiDayton,0.83,207513,148369,59144,conventional
2015,11/29,CincinnatiDayton,0.88,141356,102378,38977,conventional
2015,11/22,CincinnatiDayton,0.89,174892,127752,47140,conventional
2015,11/15,CincinnatiDayton,0.88,193723,136877,56845,conventional
2015,11/08,CincinnatiDayton,0.87,239070,178823,60246,conventional
2015,11/01,CincinnatiDayton,0.93,254760,183133,71626,conventional
2015,10/25,CincinnatiDayton,1.01,203681,144077,59603,conventional
2015,10/18,CincinnatiDayton,0.98,186044,142966,43077,conventional
2015,10/11,CincinnatiDayton,0.91,213527,162991,50536,conventional
2015,10/04,CincinnatiDayton,0.93,235243,171138,64105,conventional
2015,09/27,CincinnatiDayton,1.08,202012,152883,49128,conventional
2015,09/20,CincinnatiDayton,1.05,210445,163350,47094,conventional
2015,09/13,CincinnatiDayton,1.05,216548,160368,56180,conventional
2015,09/06,CincinnatiDayton,1.02,232157,165525,66632,conventional
2015,08/30,CincinnatiDayton,1.01,234132,170813,63318,conventional
2015,08/23,CincinnatiDayton,1.05,208608,150019,58589,conventional
2015,08/16,CincinnatiDayton,1.01,234349,170791,63557,conventional
2015,08/09,CincinnatiDayton,1.08,214374,158237,56136,conventional
2015,08/02,CincinnatiDayton,1.09,206121,155069,51052,conventional
2015,07/26,CincinnatiDayton,1.03,216611,147693,68917,conventional
2015,07/19,CincinnatiDayton,1.06,223479,165141,58337,conventional
2015,07/12,CincinnatiDayton,1.03,218170,156389,61781,conventional
2015,07/05,CincinnatiDayton,1.03,250626,178920,71706,conventional
2015,06/28,CincinnatiDayton,1.01,225165,152341,72823,conventional
2015,06/21,CincinnatiDayton,1.02,243012,178012,65000,conventional
2015,06/14,CincinnatiDayton,1.05,229363,162877,66485,conventional
2015,06/07,CincinnatiDayton,1.07,234981,171591,63389,conventional
2015,05/31,CincinnatiDayton,1.06,222382,159005,63377,conventional
2015,05/24,CincinnatiDayton,1.1,222390,166785,55604,conventional
2015,05/17,CincinnatiDayton,1.04,234579,175087,59491,conventional
2015,05/10,CincinnatiDayton,1.06,259598,186564,73034,conventional
2015,05/03,CincinnatiDayton,1.08,238140,180964,57176,conventional
2015,04/26,CincinnatiDayton,1.06,214469,153885,60583,conventional
2015,04/19,CincinnatiDayton,1.02,226978,166089,60889,conventional
2015,04/12,CincinnatiDayton,1.02,188937,133313,55624,conventional
2015,04/05,CincinnatiDayton,1.06,196168,145118,51050,conventional
2015,03/29,CincinnatiDayton,0.95,198365,127640,70724,conventional
2015,03/22,CincinnatiDayton,0.98,212719,163897,48822,conventional
2015,03/15,CincinnatiDayton,0.94,196008,138172,57836,conventional
