AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,year,region
2.07,388099.41,83635.01,140863.68,713.75,162886.97,93344.69,68261.26,1281.02,2017,Seattle
1.94,409075.07,83934.95,146966.08,604.17,177569.87,113635.3,62704.47,1230.1,2017,Seattle
1.54,562332.61,148933.34,138239.09,435.65,274724.53,225974.56,48406.18,343.79,2017,Seattle
1.67,496897.67,126277.34,145202.43,447.78,224970.12,168561.46,56032.06,376.6,2017,Seattle
1.81,438236.06,108558.45,159897.73,558.27,169221.61,104087.06,64712.1,422.45,2017,Seattle
1.73,493703.62,124307.99,178899.75,965.93,189529.95,115658.86,73095.04,776.05,2017,Seattle
1.72,470813.03,115910.95,169760.67,2027.83,183113.58,112306.79,69630.16,1176.63,2017,Seattle
1.54,509159.42,110161.26,215252.32,5868.34,177877.5,105736.33,72025.25,115.92,2017,Seattle
1.68,473361.62,122341.72,165493.94,762.56,184763.4,107734.09,76671.75,357.56,2017,Seattle
1,905064.3,186651.37,182881.1,1023.68,534508.15,534148.07,34.7,325.38,2017,Seattle
1.21,682920.51,125597.17,179521.36,840.48,376961.5,376182.03,56.47,723,2017,Seattle
1.17,680060.61,129823.78,162186.47,1038.82,387011.54,386543.6,73.92,394.02,2017,Seattle
1.16,696101.26,128838.87,170657.09,521.7,396083.6,395578.69,92.84,412.07,2017,Seattle
1.21,664560.99,105557.41,169870.98,835.35,388297.25,387996.76,91.45,209.04,2017,Seattle
1.21,681109.55,110722.71,172954.89,454.68,396977.27,396509.11,168.72,299.44,2017,Seattle
1.19,729001.29,128463.84,191777.16,763.26,407997.03,407840.36,57.37,99.3,2017,Seattle
1.25,628075.85,126440.43,172836.79,745.56,328053.07,327052.45,154.61,846.01,2017,Seattle
1.09,760302.75,161654.66,182174.19,646.27,415827.63,411542.11,4195.83,89.69,2017,Seattle
1,962478.04,251868.68,251822.4,499.56,458287.4,435657.92,22522.63,106.85,2017,Seattle
1.05,257250.2,98471.49,7427.5,582.75,150768.46,123950.8,26817.66,0,2018,StLouis
1.36,171192.49,76981.79,12192.94,419.29,81598.47,65370.95,16227.52,0,2018,StLouis
1.34,171869.94,93054.39,13758.41,541.05,64516.09,53120.31,11395.78,0,2018,StLouis
1.38,93961.48,10004.38,57087.01,102.7,26767.39,11836.12,14931.27,0,2018,Syracuse
1.2,71732.63,8952.71,33509.12,83,29187.8,9185.93,20001.87,0,2018,Syracuse
1.12,90823.29,9823.97,45835.73,107.7,35055.89,20163.08,14891.7,1.11,2018,Syracuse
1.1,89700.27,7365.24,50900.41,81.18,31353.44,9960.15,21393.29,0,2018,Syracuse
1.24,68888.16,7676.62,31987.77,94.31,29129.46,20766.25,8363.21,0,2018,Syracuse
1.3,65757.32,5423.11,33613.93,74.65,26645.63,16019.89,10625.74,0,2018,Syracuse
1.3,78222.88,8860.55,46499.73,87.27,22775.33,12967.57,9807.76,0,2018,Syracuse
1.15,113023.35,5795.04,77127.19,87.42,30013.7,7708.12,22305.58,0,2018,Syracuse
1.34,73320.15,3345.87,42297.35,62.85,27614.08,5723.16,21890.92,0,2018,Syracuse
1.45,84994.86,3424.37,55184.65,81.92,26303.92,11894.14,14409.78,0,2018,Syracuse
1.31,79367.52,3452.94,45825.51,72.86,30016.21,14827.72,15188.49,0,2018,Syracuse
1.21,68938.02,3687.73,46420.2,60.09,18770,5075.27,13694.73,0,2018,Syracuse
1.33,469300.74,289527.11,33226.48,1342.31,145204.84,87355.05,57643.12,206.67,2018,Tampa
1.13,574380.46,372785.73,43017.73,1301.33,157275.67,93201.11,63924.56,150,2018,Tampa
1.16,580771.43,372746.58,45277.75,1442.66,161304.44,92677.26,68493.85,133.33,2018,Tampa
1.14,597351.68,372631.01,48784.93,1465.95,174469.79,88569.48,85746.97,153.34,2018,Tampa
1.3,484876.62,308452.46,39379.53,1251.31,135793.32,96039.07,39654.25,100,2018,Tampa
1.33,442206.63,274990.42,33938.4,1121.33,132156.48,82223.49,49809.66,123.33,2018,Tampa
1,569543.02,364195.92,46814.57,1035.27,157497.26,82780.08,74593.85,123.33,2018,Tampa
0.98,853642.9,564685.19,79267.58,1096.9,208593.23,91618.58,116804.65,170,2018,Tampa
1.36,461179.38,294233.52,36783.53,958.61,129203.72,77554.08,51622.97,26.67,2018,Tampa
1.17,577173.29,375284.99,50138.85,1076.25,150673.2,76281.04,74392.16,0,2018,Tampa
1.41,446629.55,286535.45,36727.96,1153,122213.14,76263.43,45949.71,0,2018,Tampa
1.2,484007.91,317536.23,44226.34,1046.81,121198.53,68969.54,52215.66,13.33,2018,Tampa
0.84,965185.06,438526.12,199585.9,11017.42,316055.62,153009.89,160999.1,2046.63,2018,WestTexNewMexico
0.88,855251.17,457635.79,137597.04,8422.08,251596.26,151191.85,98535.6,1868.81,2018,WestTexNewMexico
0.94,897607.12,467501.55,154130.63,11380.26,264594.68,152380.6,110322.16,1891.92,2018,WestTexNewMexico
0.88,935934.1,454269.43,164856.57,9907.85,306900.25,164965.35,138399.68,3535.22,2018,WestTexNewMexico
0.88,895671.55,431217.01,171532.79,10590.75,282331,125973.31,147040.26,9317.43,2018,WestTexNewMexico
0.89,896808.98,421321.21,191798.82,10065.33,273623.62,130348.75,140202.81,3072.06,2018,WestTexNewMexico
0.75,1071952.06,544075.54,189862.1,7194.15,330820.27,113338.76,215753.74,1727.77,2018,WestTexNewMexico
0.76,1272039.8,531469.08,368948.26,13078.2,358544.26,127833.03,229786.03,925.2,2018,WestTexNewMexico
0.85,957086.16,479147.93,179489.19,7314.98,291134.06,143430.96,147376.43,326.67,2018,WestTexNewMexico
0.84,1020913.2,505263.29,177911.4,9468.95,328269.56,118978.5,209131.06,160,2018,WestTexNewMexico
0.9,950954.6,463945.73,188126.02,11227.47,287655.38,125408.69,162040.02,206.67,2018,WestTexNewMexico
0.88,880266.52,436282.38,178669.53,9467.11,255847.5,99686.92,155870.58,290,2018,WestTexNewMexico
1.83,989.55,8.16,88.59,0,892.8,892.8,0,0,2015,Albany
1.89,1163.03,30.24,172.14,0,960.65,960.65,0,0,2015,Albany
1.85,995.96,10.44,178.7,0,806.82,806.82,0,0,2015,Albany
1.84,1158.42,90.29,104.18,0,963.95,948.52,15.43,0,2015,Albany
1.94,831.69,0,94.73,0,736.96,736.96,0,0,2015,Albany
1.94,858.83,13.84,84.18,0,760.81,755.69,5.12,0,2015,Albany
1.89,1208.54,20.71,238.16,0,949.67,949.67,0,0,2015,Albany
1.88,1332.27,20.08,351.4,0,960.79,960.79,0,0,2015,Albany
1.88,1021.68,11.47,137.58,0,872.63,872.63,0,0,2015,Albany
1.83,1161.9,49.27,148.96,0,963.67,963.67,0,0,2015,Albany
1.97,969.29,10.31,158.07,0,800.91,800.91,0,0,2015,Albany
1.9,1170.01,28.65,88.25,0,1053.11,1035.28,17.83,0,2015,Albany
1.98,1145.88,5.74,165.26,0,974.88,964.68,10.2,0,2015,Albany
1.98,814.13,13.79,140.23,0,660.11,660.11,0,0,2015,Albany
1.98,774.2,42.63,228.13,0,503.44,503.44,0,0,2015,Albany
1.99,902.5,13.86,105.13,0,783.51,783.51,0,0,2015,Albany
1.86,1168.86,30.13,96.18,0,1042.55,1042.55,0,0,2015,Albany
1.88,1239.16,17.27,65.08,0,1156.81,1156.81,0,0,2015,Albany
1.87,1275.64,24.45,97.82,0,1153.37,1153.37,0,0,2015,Albany
2,1467.23,24.56,168.41,0,1274.26,1274.26,0,0,2015,Albany
1.88,1421.47,79.82,106.81,0,1234.84,1234.84,0,0,2015,Albany
2,1223.94,17.66,103.62,0,1102.66,1102.66,0,0,2015,Albany
