AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
1.08,5289138.5,2923673.93,1649623.66,168597.35,547243.56,525804.7,18497.03,2941.83,conventional,2015,California
0.93,6650357.96,4085858.78,1735132.32,194575.97,634790.89,613601.09,18366.27,2823.53,conventional,2015,California
0.88,8567534.49,4340117.03,3403145.1,192473.92,631798.44,609388.58,19735.89,2673.97,conventional,2015,California
1.15,4923565.04,2421009.67,1729486.77,196469.02,576599.58,548252.41,26483.99,1863.18,conventional,2015,California
1.05,5871080.81,3024466.22,2070974.14,177354.82,598285.63,524767.96,71988.59,1529.08,conventional,2015,California
1.06,5636644.51,2848184.0,1988818.23,185198.77,614443.51,532714.02,79865.3,1864.19,conventional,2015,California
1.12,5467155.55,2754464.87,1886168.89,225396.85,601124.94,539258.29,59212.09,2654.56,conventional,2015,California
1.1,5341821.67,2609532.63,1869271.31,193577.55,669440.18,605995.11,61958.73,1486.34,conventional,2015,California
1.06,5571812.77,2348618.25,2314393.94,195791.46,713009.12,681403.86,30058.97,1546.29,conventional,2015,California
1.06,5557163.11,2962520.41,1737353.95,194761.49,662527.26,632903.55,27625.15,1998.56,conventional,2015,California
0.96,5990243.89,3484274.6,1649936.05,184720.58,671312.66,642307.0,27241.05,1764.61,conventional,2015,California
0.84,6700134.25,3516551.29,2460932.41,170580.54,552070.01,515386.4,34845.51,1838.1,conventional,2015,California
0.96,5951871.32,3210177.22,1933699.49,172675.88,635318.73,596184.9,36940.51,2193.32,conventional,2015,California
0.96,5699944.93,3315163.6,1620462.13,169907.54,594411.66,544990.68,47017.93,2403.05,conventional,2015,California
0.91,5871224.58,2908845.38,2200393.89,149458.93,612526.38,553682.71,56311.08,2532.59,conventional,2015,California
0.85,9032180.67,4794142.14,3460743.8,177145.49,600149.24,556205.2,41203.2,2740.84,conventional,2015,California
1.06,4929884.26,2380955.61,1827783.28,150535.5,570609.87,521004.15,46809.48,2796.24,conventional,2015,California
1.02,5570915.26,2780859.66,2108450.36,121614.31,559990.93,520299.26,36501.18,3190.49,conventional,2015,California
0.92,6024932.34,2889591.29,2485720.1,103573.42,546047.53,510560.41,31874.03,3613.09,conventional,2015,California
0.93,5777334.9,2843648.26,2267755.26,137479.64,528451.74,477193.38,47882.56,3375.8,conventional,2015,California
1.01,2580602.96,336673.7,1411808.83,254629.93,577490.5,400003.8,98401.09,79085.61,conventional,2015,GreatLakes
1.01,2504745.45,383701.76,1337404.03,241580.61,542059.05,358218.65,122999.48,60840.92,conventional,2015,GreatLakes
1.03,2608448.06,463349.67,1342449.84,228576.54,574072.01,409909.7,148004.93,16157.38,conventional,2015,GreatLakes
1.0,2981347.2,401676.14,1680591.43,398320.64,500758.99,325850.0,124306.44,50602.55,conventional,2015,GreatLakes
1.07,2198408.92,318661.4,1199426.12,248818.72,431502.68,328369.47,83149.01,19984.2,conventional,2015,GreatLakes
1.03,2601821.63,347803.29,1471865.16,280543.97,501609.21,391454.61,89472.08,20682.52,conventional,2015,GreatLakes
1.09,2494044.41,342002.87,1322818.28,248635.49,580587.77,465154.46,99695.62,15737.69,conventional,2015,GreatLakes
0.98,3184946.53,410061.0,1794703.2,425242.73,554939.6,365002.12,138161.32,51776.16,conventional,2015,GreatLakes
1.0,3229124.75,436343.74,1825512.93,388703.05,578565.03,399665.31,133071.89,45827.83,conventional,2015,GreatLakes
1.1,2671535.94,383559.81,1460066.36,331096.84,496812.93,335249.25,130933.76,30629.92,conventional,2015,GreatLakes
1.03,2981549.94,396690.54,1695841.56,353741.96,535275.88,419558.97,92629.46,23087.45,conventional,2015,GreatLakes
1.02,3004133.39,355508.86,1652244.4,456771.26,539608.87,384772.59,93016.17,61820.11,conventional,2015,GreatLakes
1.05,2814678.93,296032.66,1632488.05,381986.61,504171.61,354840.13,106127.86,43203.62,conventional,2015,GreatLakes
1.1,2770074.76,343271.52,1605775.14,344488.51,476539.59,327299.75,103091.55,46148.29,conventional,2015,GreatLakes
1.02,3336245.24,460475.95,1887110.85,418235.21,570423.23,406010.16,109268.58,55144.49,conventional,2015,GreatLakes
1.03,3532480.92,492741.15,1958150.0,447108.5,634481.27,448051.74,132685.58,53743.95,conventional,2015,GreatLakes
1.07,3272555.01,432770.76,1876392.91,348448.68,614942.66,468148.29,121209.44,25584.93,conventional,2015,GreatLakes
1.04,3388803.79,478858.03,1877733.21,419390.5,612822.05,457558.59,111788.68,43474.78,conventional,2015,GreatLakes
1.14,2849127.29,404182.26,1596909.93,279710.88,568324.22,427635.3,122225.92,18463.0,conventional,2015,GreatLakes
1.03,3653376.07,414756.68,2087149.52,475383.38,676086.49,486209.97,129683.8,60192.72,conventional,2015,GreatLakes
1.12,3230139.65,420919.7,1839862.82,331336.66,638020.47,497895.48,115527.66,24597.33,conventional,2015,GreatLakes
1.14,3162447.64,490577.01,1722754.95,321610.93,627504.75,500704.88,104570.86,22229.01,conventional,2015,GreatLakes
1.1,3135698.38,475306.73,1616355.0,281882.1,762154.55,617211.53,127530.47,17412.55,conventional,2015,GreatLakes
1.12,3436864.41,449090.82,1843047.36,454643.18,690083.05,535843.25,110898.39,43341.41,conventional,2015,GreatLakes
1.14,3077237.12,456044.5,1617124.36,288141.07,715927.19,581802.24,120335.36,13789.59,conventional,2015,GreatLakes
1.13,3774004.27,502233.05,2055125.98,442059.88,774585.36,606612.51,140253.5,27719.35,conventional,2015,GreatLakes
1.07,3336314.35,476721.82,1631460.3,261863.52,966268.71,803974.11,148652.02,13642.58,conventional,2015,GreatLakes
1.08,3720458.83,487936.68,1958437.1,493928.69,780156.36,611156.81,132172.82,36826.73,conventional,2015,GreatLakes
1.12,3511185.14,604782.48,1744519.06,346867.18,815016.42,683334.7,119899.69,11782.03,conventional,2015,GreatLakes
1.13,3602112.79,689242.14,1723625.04,447117.42,742128.19,584086.31,122232.65,35809.23,conventional,2015,GreatLakes
1.2,3151714.0,667193.97,1478975.82,280464.92,725079.29,593192.94,119920.22,11966.13,conventional,2015,GreatLakes
1.15,3574050.61,758183.5,1764210.85,263068.72,788587.54,641756.72,134308.54,12522.28,conventional,2015,GreatLakes
1.09,3753201.03,787079.55,1939235.3,406338.23,620547.95,481046.82,110126.4,29374.73,conventional,2015,GreatLakes
1.15,3501344.46,766730.7,1723310.79,274259.73,737043.24,585000.53,147022.85,5019.86,conventional,2015,GreatLakes
1.05,3901054.42,719493.66,2200706.49,327171.65,653682.62,493009.35,146837.36,13835.91,conventional,2015,GreatLakes
1.14,3234024.32,609506.22,1580854.41,294073.96,749589.73,615887.17,116500.49,17202.07,conventional,2015,GreatLakes
1.06,3857605.11,615564.03,2140254.41,383840.98,717945.69,609139.49,84879.59,23926.61,conventional,2015,GreatLakes
1.11,2895992.9,548501.37,1403326.56,190091.28,754073.69,688965.8,60642.37,4465.52,conventional,2015,GreatLakes
1.18,2938918.81,504487.79,1595354.39,221603.31,617473.32,552075.78,61643.12,3754.42,conventional,2015,GreatLakes
1.09,2971443.88,456518.93,1472879.42,196545.04,845500.49,758625.31,82421.91,4453.27,conventional,2015,GreatLakes
1.04,3746598.18,543151.72,2146436.5,451798.84,605211.12,453829.96,105804.36,45576.8,conventional,2015,GreatLakes
1.1,2948199.23,475449.58,1626922.95,223788.7,622038.0,498932.31,114147.11,8958.58,conventional,2015,GreatLakes
1.04,3134752.64,380674.2,1675102.29,253978.78,824997.37,697812.88,114519.6,12664.89,conventional,2015,GreatLakes
1.02,3566752.43,353818.94,2135517.89,478701.64,598713.96,462539.26,88541.92,47632.78,conventional,2015,GreatLakes
1.16,2730224.03,391400.93,1482033.31,246541.13,610248.66,512270.39,88536.91,9441.36,conventional,2015,GreatLakes
1.15,2610004.41,390973.21,1331420.43,237030.33,650580.44,561485.4,81172.24,7922.8,conventional,2015,GreatLakes
1.07,2856456.35,515789.01,1541252.99,238780.53,560633.82,472576.07,78544.87,9512.88,conventional,2015,GreatLakes
0.91,4874124.41,768874.35,2948564.71,510153.65,646531.7,479453.25,126925.79,40152.66,conventional,2015,GreatLakes
1.13,2928692.32,390289.67,1649082.75,271642.56,617677.34,503612.64,109501.0,4563.7,conventional,2015,GreatLakes
1.08,3006207.02,401683.43,1650327.26,257105.89,697090.44,600155.95,93434.54,3499.95,conventional,2015,GreatLakes
1.1,3067638.32,416900.3,1818618.04,316856.73,515263.25,412976.97,91214.54,11071.74,conventional,2015,GreatLakes
1.02,3382800.12,467259.47,2059657.71,318102.38,537780.56,412779.64,111072.91,13928.01,conventional,2015,GreatLakes
1.05,2065131.33,435246.31,1022861.71,103811.97,503211.34,464119.16,35717.26,3374.92,conventional,2015,Midsouth
1.05,2044020.93,446433.13,1024405.09,96387.48,476795.23,434534.42,38523.1,3737.71,conventional,2015,Midsouth
1.03,2193142.82,515063.58,1060753.67,113979.43,503346.14,445274.87,57239.73,831.54,conventional,2015,Midsouth
1.0,2233138.01,507201.58,1154808.22,133316.89,437811.32,377999.41,57793.89,2018.02,conventional,2015,Midsouth
1.05,1845443.13,417849.42,939038.5,101739.67,386815.54,344830.99,40738.63,1245.92,conventional,2015,Midsouth
1.06,1903245.0,422437.27,955972.74,117353.23,407481.76,364155.91,41724.4,1601.45,conventional,2015,Midsouth
1.02,2355839.19,470482.8,1302219.95,168586.54,414549.9,373075.42,40843.12,631.36,conventional,2015,Midsouth
1.04,2503008.26,568612.19,1248271.45,228267.05,457857.57,402488.58,52180.99,3188.0,conventional,2015,Midsouth
1.08,2511760.36,549089.55,1188242.89,260946.16,513481.76,429082.15,81904.3,2495.31,conventional,2015,Midsouth
1.13,2188485.29,522060.98,980865.05,211478.23,474081.03,417038.17,55815.71,1227.15,conventional,2015,Midsouth
1.05,2783170.15,555583.11,1537196.96,215608.69,474781.39,423533.77,50778.19,469.43,conventional,2015,Midsouth
1.13,2329757.67,469059.21,1057488.47,277954.43,525255.56,455592.88,68091.96,1570.72,conventional,2015,Midsouth
1.18,2233935.94,467701.3,1070891.86,194003.8,501338.98,438547.27,61454.54,1337.17,conventional,2015,Midsouth
1.11,2390611.02,479660.47,1206766.08,274903.15,429281.32,383854.11,43807.49,1619.72,conventional,2015,Midsouth
1.13,2447264.74,555127.12,1122683.82,208537.92,560915.88,479718.29,76793.78,4403.81,conventional,2015,Midsouth
1.09,2814803.06,574792.78,1444401.99,182702.62,612905.67,548306.36,61850.13,2749.18,conventional,2015,Midsouth
1.08,3013825.75,564493.74,1458691.19,314497.84,676142.98,598816.21,75569.59,1757.18,conventional,2015,Midsouth
1.18,2535192.78,516825.42,1161145.08,196950.9,660271.38,620018.68,36845.26,3407.44,conventional,2015,Midsouth
1.12,2765838.1,571552.62,1286342.3,210164.47,697778.71,654945.01,41707.37,1126.33,conventional,2015,Midsouth
1.14,2823405.23,627950.44,1355609.83,222563.23,617281.73,577210.39,36597.11,3474.23,conventional,2015,Midsouth
1.15,2710710.15,531460.61,1328248.62,203932.87,647068.05,597061.79,48069.52,1936.74,conventional,2015,Midsouth
1.14,2752081.97,532287.84,1359710.96,208419.92,651663.25,604227.7,46004.95,1430.6,conventional,2015,Midsouth
1.15,2664424.22,531729.96,1239353.81,199553.32,693787.13,638982.26,53809.21,995.66,conventional,2015,Midsouth
1.14,2751192.77,569216.65,1234664.0,218257.94,729054.18,685065.97,41646.75,2341.46,conventional,2015,Midsouth
1.13,2783554.82,532046.38,1337980.83,205773.72,707753.89,662158.17,44652.53,943.19,conventional,2015,Midsouth
1.13,3183419.6,632988.75,1545460.43,232974.97,771995.45,717654.81,53154.69,1185.95,conventional,2015,Midsouth
1.14,2835630.41,534709.22,1324231.26,215752.18,760937.75,722276.9,37287.39,1373.46,conventional,2015,Midsouth
1.13,2979417.82,601782.55,1363070.07,215613.45,798951.75,750253.84,45536.54,3161.37,conventional,2015,Midsouth
1.09,3173051.42,653441.16,1484200.81,206159.51,829249.94,786795.07,40769.55,1685.32,conventional,2015,Midsouth
1.14,2918298.91,724315.73,1217522.42,200001.49,776459.27,717859.42,56141.4,2458.45,conventional,2015,Midsouth
1.14,3039403.06,734816.3,1377202.12,207708.91,719675.73,661787.82,56794.41,1093.5,conventional,2015,Midsouth
1.14,3119050.91,719874.17,1431141.56,231744.91,736290.27,679537.84,55107.23,1645.2,conventional,2015,Midsouth
1.18,2817008.33,698401.8,1201257.18,203615.52,713733.83,667222.64,44437.39,2073.8,conventional,2015,Midsouth
1.17,2956859.19,721935.59,1299998.7,190755.81,744169.09,679213.0,64322.24,633.85,conventional,2015,Midsouth
1.07,3410467.52,793989.95,1557507.45,364283.54,694686.58,624533.81,68904.63,1248.14,conventional,2015,Midsouth
1.2,2699614.5,698128.52,1125853.0,192090.19,683542.79,642966.9,39078.44,1497.45,conventional,2015,Midsouth
1.18,2711008.32,654378.33,1125460.56,190006.01,741163.42,701805.76,37167.77,2189.89,conventional,2015,Midsouth
1.13,2829416.58,665283.33,1298472.42,185691.58,679969.25,635124.32,44745.79,99.14,conventional,2015,Midsouth
1.19,2519677.31,617567.29,1066608.5,183653.85,651847.67,607923.59,42910.27,1013.81,conventional,2015,Midsouth
1.18,2523110.39,576473.89,1160794.38,203057.64,582784.48,547007.1,35421.43,355.95,conventional,2015,Midsouth
1.11,2779012.66,681261.26,1282053.45,197573.91,618124.04,560370.06,53740.87,4013.11,conventional,2015,Midsouth
1.19,2462108.11,570576.91,1066470.63,210234.78,614825.79,578103.5,34641.93,2080.36,conventional,2015,Midsouth
1.21,2297509.11,545690.6,949015.34,179824.24,622978.93,588931.15,33275.04,772.74,conventional,2015,Midsouth
1.14,2538981.6,620672.44,1151353.87,182873.34,584081.95,543841.07,37011.94,3228.94,conventional,2015,Midsouth
1.1,2720346.71,632670.12,1209150.04,295228.18,583298.37,535973.53,46783.55,541.29,conventional,2015,Midsouth
1.17,2420829.45,634266.43,982380.32,206499.63,597683.07,515932.56,81139.48,611.03,conventional,2015,Midsouth
1.06,2734006.98,732854.05,1222159.62,159491.59,619501.72,543231.71,75649.4,620.61,conventional,2015,Midsouth
0.99,3668037.65,888523.17,1798504.77,388259.15,592750.56,464442.27,125798.21,2510.08,conventional,2015,Midsouth
1.15,2480820.72,566435.98,1077630.8,164873.48,671880.46,572717.4,99142.71,20.35,conventional,2015,Midsouth
1.19,2330829.2,530333.83,1045424.87,186027.52,569042.98,478770.7,90214.44,57.84,conventional,2015,Midsouth
1.17,2335986.11,560119.16,1032606.49,191515.19,551745.27,465764.93,85966.27,14.07,conventional,2015,Midsouth
1.1,2578275.12,575245.44,1311502.53,181058.65,510468.5,429166.89,80986.81,314.8,conventional,2015,Midsouth
1.2,3156360.2,69920.54,2313155.65,35858.35,737425.66,690116.94,46305.06,1003.66,conventional,2015,Northeast
1.2,3190120.04,72576.52,2330694.41,14909.65,771939.46,709816.2,60823.26,1300.0,conventional,2015,Northeast
1.09,3696551.52,81055.1,2852333.86,4716.39,758446.17,706707.82,51734.84,3.51,conventional,2015,Northeast
1.14,3218494.55,85444.57,2541186.76,3341.42,588521.8,547611.8,40901.19,8.81,conventional,2015,Northeast
1.22,2593780.51,71191.69,1964333.5,3025.26,555230.06,513647.72,41582.34,0.0,conventional,2015,Northeast
1.16,3026217.24,79006.95,2316404.82,4067.05,626738.42,581899.23,44833.83,5.36,conventional,2015,Northeast
1.09,3538946.22,89242.5,2738913.76,3393.33,707396.63,658542.91,48853.72,0.0,conventional,2015,Northeast
1.1,4205775.44,86385.14,3333003.32,4491.79,781895.19,645890.25,136004.94,0.0,conventional,2015,Northeast
1.09,4801621.08,95355.74,3920642.46,4729.26,780893.62,697293.46,83580.91,19.25,conventional,2015,Northeast
1.15,3306614.18,88907.0,2438454.39,3363.89,775888.9,693912.61,81976.29,0.0,conventional,2015,Northeast
0.99,4866607.14,93569.28,4025382.16,5421.22,742234.48,661214.66,81018.08,1.74,conventional,2015,Northeast
1.23,3307828.65,88376.7,2383018.56,4364.98,832068.41,721415.51,110651.17,1.73,conventional,2015,Northeast
1.21,3585183.3,99666.72,2679760.58,5434.32,800321.68,716567.95,83753.73,0.0,conventional,2015,Northeast
1.13,3739072.7,86278.88,2965153.82,4785.85,682854.15,589490.48,93363.67,0.0,conventional,2015,Northeast
1.21,3334592.0,86196.27,2492113.6,4293.65,751988.48,672883.2,79105.28,0.0,conventional,2015,Northeast
1.14,4205294.58,95839.65,3364304.91,4616.79,740533.23,638404.31,102122.78,6.14,conventional,2015,Northeast
1.18,4088061.71,99311.62,3227507.37,6693.26,754549.46,688674.24,65777.16,98.06,conventional,2015,Northeast
1.2,3825966.51,93227.99,2981372.2,11075.1,740291.22,678533.22,60808.49,949.51,conventional,2015,Northeast
1.13,4146220.81,107907.11,3291930.64,7167.44,739215.62,682203.72,55968.11,1043.79,conventional,2015,Northeast
1.17,4221435.38,97139.95,3382543.31,8138.99,733613.13,677997.05,55602.12,13.96,conventional,2015,Northeast
1.1,4786334.13,105393.94,3894801.66,9116.57,777021.96,722077.58,54944.38,0.0,conventional,2015,Northeast
1.19,4154658.67,104772.22,3244095.85,11726.4,794064.2,742929.61,51131.53,3.06,conventional,2015,Northeast
1.28,3757524.71,102482.55,2757145.78,14864.77,883031.61,815705.91,67279.91,45.79,conventional,2015,Northeast
1.27,4169213.2,107602.07,3057929.0,36476.44,967205.69,900291.21,66844.37,70.11,conventional,2015,Northeast
1.2,4454138.91,110242.95,3051823.18,75096.18,1216976.6,1148604.15,67207.62,1164.83,conventional,2015,Northeast
1.24,4855273.71,122190.4,3328289.46,92678.08,1312115.77,1208641.02,102680.02,794.73,conventional,2015,Northeast
1.3,4100932.47,105387.01,2670469.78,72708.66,1252367.02,1129604.18,121974.02,788.82,conventional,2015,Northeast
1.27,4508474.0,106859.5,3203944.93,77296.43,1120373.14,1052770.72,66494.05,1108.37,conventional,2015,Northeast
1.2,4561749.66,112693.47,2985953.81,56827.08,1406275.3,1285655.99,118366.89,2252.42,conventional,2015,Northeast
1.27,4721927.3,109587.85,3416600.27,7058.9,1188680.28,1099881.5,87700.94,1097.84,conventional,2015,Northeast
1.34,4329239.82,116068.2,2954175.96,5488.64,1253507.02,1154091.74,97864.57,1550.71,conventional,2015,Northeast
1.26,4661457.29,112425.95,3212552.24,7774.83,1328704.27,1206950.37,120720.48,1033.42,conventional,2015,Northeast
1.33,4094677.85,114065.77,2730591.16,5593.26,1244427.66,1156872.13,87402.54,152.99,conventional,2015,Northeast
1.21,5498650.28,134556.37,4143702.97,10220.82,1210170.12,1120295.45,89874.67,0.0,conventional,2015,Northeast
1.24,4597313.41,129459.52,3365962.7,13487.57,1088403.62,954844.81,132615.75,943.06,conventional,2015,Northeast
1.36,3646363.66,110930.88,2492744.36,7040.21,1035648.21,902141.63,132855.85,650.73,conventional,2015,Northeast
1.31,3786141.18,110954.74,2552885.19,6389.9,1115911.35,984678.78,131232.57,0.0,conventional,2015,Northeast
1.33,3203213.09,93987.65,2102179.57,5306.97,1001738.9,920108.45,81630.45,0.0,conventional,2015,Northeast
1.34,3467770.71,97887.72,2409449.74,6203.7,954229.55,869574.86,83524.01,1130.68,conventional,2015,Northeast
1.26,3497026.98,96169.31,2543290.15,5707.16,851860.36,769079.25,82778.21,2.9,conventional,2015,Northeast
1.22,3520408.65,118765.0,2526519.62,5436.84,869687.19,782209.83,87477.36,0.0,conventional,2015,Northeast
1.34,3135991.73,111777.91,2082038.09,5531.34,936644.39,843930.39,92714.0,0.0,conventional,2015,Northeast
1.27,3250832.53,113602.19,2111936.1,7864.97,1017429.27,909308.32,108119.32,1.63,conventional,2015,Northeast
1.15,3780455.44,88609.28,2790180.2,7317.59,894348.37,810060.6,84287.77,0.0,conventional,2015,Northeast
1.29,3042447.03,92283.05,2003076.22,7049.52,940038.24,860636.05,79402.19,0.0,conventional,2015,Northeast
1.29,2983695.9,88056.2,1958075.38,7773.07,929791.25,864046.29,65744.96,0.0,conventional,2015,Northeast
1.09,4457049.41,128978.49,3354876.63,7219.81,965974.48,869917.39,96055.45,1.64,conventional,2015,Northeast
1.23,4298883.17,133613.0,3149375.34,9191.41,1006703.42,896750.09,109953.33,0.0,conventional,2015,Northeast
1.27,3238501.89,96761.81,2129188.49,7923.65,1004627.94,903840.54,100787.4,0.0,conventional,2015,Northeast
1.32,3066789.62,91803.09,2098784.32,7215.59,868986.62,784229.51,84757.11,0.0,conventional,2015,Northeast
1.28,3056024.77,97343.55,2070661.43,6915.47,881104.32,796190.93,84913.39,0.0,conventional,2015,Northeast
1.09,3759282.62,126640.65,2860709.93,7580.38,764351.66,669970.5,94381.16,0.0,conventional,2015,Northeast
1.1,1306923.23,571602.6,404837.9,25188.57,305294.16,279127.08,24838.63,1328.45,conventional,2015,Plains
1.13,1139861.64,497437.17,341262.17,27253.71,273908.59,255725.09,16936.24,1247.26,conventional,2015,Plains
1.02,1472501.13,695419.91,463238.46,17927.73,295915.03,266174.79,28516.98,1223.26,conventional,2015,Plains
1.08,1245289.61,579077.46,394656.96,13005.11,258550.08,243961.62,13539.44,1049.02,conventional,2015,Plains
1.11,1099646.06,460759.58,364748.79,10648.01,263489.68,248449.51,14157.64,882.53,conventional,2015,Plains
1.1,1281613.28,584490.6,403638.25,15421.83,278062.6,260079.65,16838.2,1144.75,conventional,2015,Plains
1.09,1294866.75,549163.56,441216.08,17268.45,287218.66,270313.26,16012.74,892.66,conventional,2015,Plains
1.12,1285586.97,513609.22,467808.56,19975.92,284193.27,266376.52,16399.34,1417.41,conventional,2015,Plains
1.12,1350091.82,469390.49,584277.22,17013.86,279410.25,264897.41,13224.58,1288.26,conventional,2015,Plains
1.11,1411354.54,559720.23,583990.89,15616.99,252026.43,237398.61,13346.37,1281.45,conventional,2015,Plains
1.12,1368887.69,492966.35,588304.97,14931.07,272685.3,257340.06,13759.12,1586.12,conventional,2015,Plains
1.05,1560845.55,708470.83,576153.62,14585.67,261635.43,248699.54,11296.81,1639.08,conventional,2015,Plains
1.14,1309245.88,492561.57,566241.35,15401.65,235041.31,223134.82,10382.51,1523.98,conventional,2015,Plains
0.99,1542657.96,564480.54,729792.24,14587.65,233797.53,221484.44,10779.94,1533.15,conventional,2015,Plains
1.16,1386951.96,611683.23,506379.84,15441.14,253447.75,237139.11,15090.36,1218.28,conventional,2015,Plains
1.13,1526985.3,727720.21,491074.45,15652.47,292538.17,271845.35,19120.68,1572.14,conventional,2015,Plains
1.12,1714650.22,857114.48,547236.44,15397.86,294901.44,276258.81,17590.29,1052.34,conventional,2015,Plains
1.13,1481150.17,699755.69,477305.38,14634.43,289454.67,270142.84,18056.86,1254.97,conventional,2015,Plains
1.06,1731574.98,930286.05,498120.52,16041.72,287126.69,275002.9,10772.67,1351.12,conventional,2015,Plains
1.08,1727851.85,911935.06,508403.31,14777.59,292735.89,277836.31,13619.13,1280.45,conventional,2015,Plains
1.14,1605913.77,789751.38,498857.3,21090.12,296214.97,281135.85,13951.38,1127.74,conventional,2015,Plains
1.13,1593031.18,761285.69,506914.62,33145.85,291685.02,276864.79,13477.89,1342.34,conventional,2015,Plains
1.04,1844887.26,898275.28,576870.99,53882.08,315858.91,292786.5,21669.83,1402.58,conventional,2015,Plains
1.09,1701986.81,824192.7,491747.17,37429.71,348617.23,332847.58,14512.26,1257.39,conventional,2015,Plains
1.07,1808842.07,953323.15,530475.53,14462.47,310580.92,292683.09,12904.75,4993.08,conventional,2015,Plains
1.06,1988311.9,927860.87,627548.45,19636.37,413266.21,396505.99,15522.11,1238.11,conventional,2015,Plains
1.08,1826182.48,954738.73,480810.73,18637.71,371995.31,358087.94,12451.24,1456.13,conventional,2015,Plains
1.08,1921720.44,1049002.63,474166.48,22901.69,375649.64,358605.35,15767.87,1276.42,conventional,2015,Plains
1.06,1974806.07,1117926.72,443241.8,27161.21,386476.34,375290.39,9693.84,1492.11,conventional,2015,Plains
1.04,2026464.23,1207877.63,445069.67,17034.85,356482.08,353409.98,1330.64,1741.46,conventional,2015,Plains
1.09,1853451.18,1085643.8,418763.72,11918.96,337124.7,334423.95,902.84,1797.91,conventional,2015,Plains
1.03,2026639.78,1221023.1,450494.18,12148.13,342974.37,338254.28,2828.9,1891.19,conventional,2015,Plains
